species,label,speciescn,taxid,groups,description
Aspergillus fumigatus,Both,烟曲霉,746128,fungi,"烟曲霉是环境中普遍存在的丝状腐生fungi,也是重要的机会致病菌.随着免疫受损人群的增多,由烟曲霉引起的系统性感染发病率不断升高，病死率达 60％一 100％，经常造成肺部感染，成为白血病和骨髓移植等重症免疫受损患者死亡的主要原因之一。烟曲霉可引起fungi性眼内炎。"
Aspergillus nidulans,Both,构巢曲霉,162425,fungi,构巢曲霉属于曲霉属，是一种被广泛研究的雌雄同体的fungi，有一定的致病性，构巢曲霉在眼部可能会感染角膜，眼眶和其他眼部结构，有报道引起白内障术后患者fungi性眼内炎。构巢曲霉也可引起肺曲霉菌病和侵袭性fungi性鼻窦炎。
Aspergillus niger,Both,黑曲霉,5061,fungi,黑曲霉与其他致病曲霉类似，可引起免疫低下患者机会感染。曾报道过黑曲霉引起甲fungi病、外耳道炎、 皮肤创面感染、支气管肺炎、腹膜透析患者的腹膜炎，以及播散性感染。由于黑曲霉产生黑色素，所以其在感染组织中往往带有色素，如甲fungi病可使甲呈黑色，皮肤创面感染可呈黑色痂皮等。在眼科中有报道黑曲霉引起的fungi性角膜炎和fungi性眼内炎。
Aspergillus pseudonomiae,Pathogenicity,A. pseudonomius,1506151,fungi,A. pseudonomius属于曲霉菌属，曲霉是一种普遍存在的霉菌，可以感染免疫功能良好和免疫功能低下的患者。2019年从一例鼻窦炎患者体内分离出该菌，这是该菌在临床中的首次报告。
Aspergillus ruber,Pathogenicity,Aspergillus_ruber,396024,fungi,A.ruber属于曲霉菌属，该物种于 1929 年首次被描述。 它已从英国的咖啡豆、中国 的茶叶和土壤以及捷克共和国的麦芽尘中分离出，目前引起人类致病案例较为罕见。
Aspergillus terreus,Both,土曲霉,33178,fungi,土曲霉是一种常见的土壤腐生菌，可以从沙漠、草原、堆肥堆及被污染的存储的玉米、大麦、花生中分离到。该菌也具有重要的临床意义，可引起浅部fungi感染，如甲癣，在严重免疫功能抑制患者也可引起侵袭性曲霉病。也有报道在非免疫抑制患者中由该fungi引起的内源性眼内炎。
Aspergillus thermomutatus,Pathogenicity,Aspergillus thermomutatus,41047,fungi,A. thermomutatus为曲霉属fungi，有研究显示，该菌与呼吸道感染有关。
Aspergillus tubingensis,Both,塔宾曲霉,5068,fungi,塔宾曲霉是曲霉属fungi中一种可引起免疫低下患者机会感染的致病原，与黑曲霉亲缘关系较近。塔宾曲霉广泛分布于世界各地的粮食、植物性产品和土壤中，可导致侵袭性肺曲霉病，还是耳霉菌病中最常见的致病原之一，可造成疼痛或暂时性听力丧失，严重时可能损害耳道和鼓膜，除此之外也有病例报道罕见的引起心内膜炎感染。在眼科，有2例塔宾曲霉引起的无明显诱因的角膜炎报道，临床表现为视力下降、眼红眼痛和可累及基质的角膜浸润。
Aspergillus versicolor,Pathogenicity,花斑曲霉,46472,fungi,花斑曲霉是曲霉菌属的一员，曲霉菌属可导致曲霉病，可在免疫力低下及长期佩戴眼镜等人群引起慢性fungi性眼内炎，其中症状有视力模糊，玻璃体炎症，角膜微孔等。花斑曲霉是一种罕见的fungi，其通常在被破坏的房屋中的绝缘材料中发现。有文献报道1例花斑曲霉引起的外伤后慢性fungi性眼内炎。
Aureobasidium,,,5579,fungi,常见背景微生物
Aureobasidium namibiae,Background,Aureobasidium namibiae,559561,fungi,常见背景微生物
Aureobasidium pullulans,Background,黑酵母菌,5580,fungi,常见背景微生物
Bacillus altitudinis,Both,高地芽孢杆菌,293387,bacteria,高地芽孢杆菌(Bacillusaltitudinis)是芽孢杆菌属的一种革兰氏阳性菌，菌体杆状，不运动，属于高地芽孢杆菌复合群成员。高地芽孢杆菌目前主要应用在防治病虫害，可与其他相关菌株一起应用于食品工业的生物防治。有文献报道芽胞杆菌引起的结膜、角膜溃疡等。
Bacillus cereus,Both,蜡样芽孢杆菌,1396,bacteria,蜡样芽孢杆菌是一种普遍存在的革兰氏阳性棒状杆菌，在眼科是不常见但具有侵袭性的一种病原体，文献报道其约占感染性眼内炎病例的1.5%-10.7%，蜡样芽孢杆菌是外伤后眼内炎的重要病原体，感染进展迅速，在12-48小时内导致严重的炎症，对万古霉素、左氧氟沙星、氧氟沙星、妥布霉素和新霉素敏感。蜡样芽孢杆菌也被报道可引起角膜溃疡。
Bacillus cereus group,Both,蜡样芽孢杆菌复合群,86661,bacteria,蜡样芽孢杆菌为革兰氏阳性菌，无荚膜，可产芽孢，β溶血性bacteria，广泛存在于水、土壤、空气、无脊椎动物的消化道和人类皮肤等处，是引起食物中毒的常见病原菌之一，也可引起血流感染、肺炎、眼部感染、中枢神经系统感染、皮肤软组织感染以及心内膜炎等。在眼科是不常见但具有侵袭性的一种病原体，文献报道其约占感染性眼内炎病例的1.5%-10.7%，蜡样芽孢杆菌是外伤后眼内炎的重要病原体，感染进展迅速，在12-48小时内导致严重的炎症，对万古霉素、左氧氟沙星、氧氟沙星、妥布霉素和新霉素敏感。蜡样芽孢杆菌也被报道可引起角膜溃疡。
Bacillus pseudomycoides,Both,假fungi样芽胞杆菌/假蕈状芽胞杆菌,64104,bacteria,假蕈状芽孢杆菌属于蜡状芽孢杆菌群成员之一，由大的杆状体组成，带有卵球形，可以在厌氧条件下和溶菌酶存在下生长，蜡样芽胞杆菌群成员，可引起食源性疾病，均与食物中毒有关，且已有研究报道，芽孢杆菌属可引起眼部致病。
Bacillus pumilus,Both,短小芽胞杆菌,1408,bacteria,短小芽孢杆菌(Bacillus pumilus)是芽孢杆菌属的一种革兰氏阳性菌，菌体呈杆状，能运动。短小芽孢杆菌是土壤、植物根际重要的植物根际促生菌菌群之一，能产生肽类、蛋白质、吡嗪类和酚类等多种抗菌物质，具有防病和促进生长双重功效。短小芽孢杆菌也是一些腐殖酸原料中的常见微生物。不仅能诱导植物产生抗病性，还能在植物根尖定植并形成生物膜，促进植物对营养物质的吸收。有文献报道芽胞杆菌属引起的结膜、角膜溃疡等。
Bacillus subtilis,Pathogenicity,枯草芽孢杆菌,1423,bacteria,枯草芽胞杆菌是属于芽胞杆菌属的革兰氏阳性菌，芽胞杆菌属微生物广泛存在于环境中，常在腐烂的有机物、灰尘、土壤和深水中被发现。枯草杆菌属于眼部的条件致病菌，枯草芽孢杆菌眼内炎是感染性眼内炎的一种，其毒力较强，可在12~24h内导致失明。感染症状为眼剧痛、眼睑肿胀、眼球突出、角膜进行性水肿混浊、脓肿，前房及玻璃体腔内大量纤维素性渗出物。
Bartonella henselae,Both,汉赛巴尔通体,38323,bacteria,汉塞巴尔通体感染可导致血管增生性病变、血管内膜病变伴原发性菌血症以及肉芽肿性病变。猫抓病即汉塞巴尔通体感染所引起的良性自限性疾病，在免疫功能正常者表现为皮肤或头面部淋巴结病变，而在免疫功能低下者可表现为严重的全身性病变。在眼部常表现为视神经网膜炎、结膜炎和视网膜血管炎。
Beauveria rudraprayagi,Both,Beauveria rudraprayagi,1481906,fungi,Beauveria rudraprayagi是常见的昆虫寄生菌，较少感染人类，关于该物种感染研究较少，有文献报道同属物种可能导致霉菌性角膜炎。
Betapapillomavirus 1,Background,β-乳头瘤viral1型,337051,viral,常见背景微生物
Betapapillomavirus 2,Background,β-乳头瘤viral2型,333924,viral,常见背景微生物
Betapapillomavirus 3,Background,β-乳头瘤viral3型,334207,viral,常见背景微生物
Betapolyomavirus hominis,Background,BKviral,1891762,viral,常见背景微生物
Betapolyomavirus secuhominis,Background,人多瘤viral2型(JCviral),1891763,viral,常见背景微生物
Borreliella burgdorferi,Pathogenicity,伯氏疏螺旋体,139,bacteria,伯氏疏螺旋体可引起Lyme病，Lyme病由蜱虫叮咬传播，常于2-28天后发病，患者常有发热、头痛、疲劳等感冒样症状，皮肤常出现典型的圆形或卵圆形红斑。少数患者伴发结膜炎、巩膜外层炎或葡萄膜炎。
Brevibacillus agri,Pathogenicity,土壤短芽孢杆菌,51101,bacteria,土壤短芽孢杆菌为革兰氏阳性菌，广泛存在于土壤、水环境中。有文献报道土壤短芽孢杆菌可对人和动物的皮肤、伤口或其他身体组织具有致病性。
Brevibacillus brevis,Both,短短芽孢杆菌,1393,bacteria,短短芽孢杆菌是一种需氧的革兰氏阳性菌，在环境和土壤中存在，可用于农业，引起人类致病的文献较少，可引起免疫功能低下、严重外伤患者的感染，如菌血症、腹膜炎等。
Brucella melitensis,Pathogenicity,羊布氏杆菌,29459,bacteria,羊布氏杆菌是一种革兰阴性小杆菌，苛养。布鲁菌病，简称布病，地中海弛张热、马耳他热、波浪热(undulant fever)、波状热，是由布鲁菌感染引起的一种人畜共患传染病。患者通常透过接触受感染动物的分泌物，或进食受污染的肉类或奶品而受感染，而在牧场或屠房等地方工作的人士，受感染风险会较高。布氏菌侵入人体后，会使人体体温上升至 40℃以上并引发全身抽搐等症状，而依严重程度可能造成心血管系统、运动神经系统、生殖系统、脑神经系统等病变。在眼科中布氏菌感染可引起全葡萄膜炎，表现为严重的玻璃体混浊以及广泛的脉络膜视网膜炎。
Burkholderia cepacia,Pathogenicity,洋葱伯克霍尔德菌,292,bacteria,为不发酵革兰氏阴性杆菌，是一种人条件致病菌，在自然环境中广泛存在，可通过被污染的水和器械、消毒液、留置导管等途径引起感染，有临床报道由洋葱伯克霍尔德菌引起的脑膜炎。洋葱伯克霍尔德菌引起的眼部感染案例不多，但在角膜炎、急性或迟发性术后、外伤后眼内炎、内源性眼内炎均有该病原感染的报道。
Campylobacter ureolyticus,Both,解脲弯曲杆菌,827,bacteria,解脲弯曲杆菌为一种新兴的胃肠道病原体，是一种革兰氏阴性、厌氧、无孢子芽孢杆菌。弯曲杆菌通常表现出微嗜气代谢特征，但也有一些物种能够在有氧和厌氧条件下生长。弯曲杆菌引起弯曲杆菌病，弯曲杆菌是世界各地引起人畜共患疾病的主要bacteria原因，被认为是一种食源性病原体。其感染具有潜伏期，往往持续1-7天，随后出现症状，可持续3天至一周。症状包括腹部绞痛、发烧和腹泻，大便中是否有血液，在大多数情况下，感染是自限性的。弯曲杆菌也可导致感染后并发症的发生，包括吉利安巴雷综合征(GBS)或米勒费舍尔综合征(MFS)。解脲弯曲杆菌引起感染的发病率可能与患有免疫系统疾病的患者以及免疫功能低下和糖尿病或艾滋viral的患者有关，目前其感染率已超过大肠杆菌，成为弯曲杆菌相关胃肠炎的第二大最常见原因。
Candida albicans,Both,白色念珠菌,5476,fungi,白色念珠菌是一种酵母菌，条件致病菌，通常感染有免疫缺陷的人，能导致人感染念珠菌病。能引起血液感染，神经系统感染等，是fungi性角膜炎和fungi性眼内炎的常见病原体
Candida glabrata,Both,光滑念珠菌,5478,fungi,常见背景微生物
Candida haemulonii,Background,假丝酵母,45357,fungi,常见背景微生物
Candida orthopsilosis,Background,拟平滑念珠菌,273371,fungi,常见背景微生物
Candida parapsilosis,Both,近平滑念珠菌,5480,fungi,近平滑念珠菌是临床常见的念珠菌，机会性致病fungi，在很大程度上影响低出生体重儿和免疫功能低下患者。该菌是导致免疫功能低下人群患败血症和伤口及组织感染的重要原因。近平滑念珠菌可引起角膜炎和眼内炎，其感染容易出现在使用全身皮质类固醇或有眼部手术史人群中，如角膜移植术、LASIK手术、白内障手术等。
Candida tropicalis,Both,热带念珠菌,5482,fungi,热带念珠菌是常见的假丝酵母菌，是黏膜和全身感染的机会性fungi病原体，常继发于免疫功能低下或者有基础性疾病的患者，尤其多见于器官或骨髓移植、恶性血液病、癌症及糖尿病等情况。热带念珠菌被报道可引起内源性fungi性眼内炎、白内障术后眼内炎、角膜移植术后眼内炎和角膜炎、接触镜导致的角膜炎，其中内源性眼内炎最为多见，可有视网膜出血，玻璃体混浊，飞蚊症等眼部表现。
Capnocytophaga sputigena,Pathogenicity,生痰二氧化碳噬纤维菌,1019,bacteria,该菌为兼性厌氧、嗜二氧化碳的梭形革兰氏阴性杆菌，是正常的口咽部菌群，同时它们也是与牙周病和动物咬伤相关的条件致病菌，可对免疫功能不全的宿主造成全身感染。可导致菌血症，积脓症，败血症。二氧化碳噬纤维菌属可在眼外伤或持续性角膜上皮缺损的患者中导致角膜炎，有文献报道生痰二氧化碳噬纤维菌在长期使用激素患者中引起严重的角膜炎。
Cellulosimicrobium cellulans,Both,纤维化纤维微bacteria,1710,bacteria,纤维化纤维微bacteria是革兰氏阳性菌，在土壤等环境中广泛存在，主要在免疫功能低下或存在外来异物引起感染的人群中致病，文献报道1例由该菌引起的外伤性眼内炎。
Chaetomium globosum,Both,球毛壳霉菌,38033,fungi,球毛壳霉菌属于毛壳菌属，毛壳菌属在环境中广泛存在，引起人类感染的报道比较少，有文献报道球毛壳霉菌可引起皮肤感染、鼻窦炎、肺炎及感染性心内膜炎，在眼科被报道可引起植物外伤后溃疡性角膜炎，对两性霉素B、那他霉素耐药，对伏立康唑、伊曲康唑敏感。
Chlamydia psittaci,Pathogenicity,鹦鹉热bacteria,83554,bacteria,鹦鹉热bacteria是一个专性细胞内病原体，属于bacteria属，会导致一种重要的人畜共患病，即鹦鹉热。鹦鹉热bacteria首先从鹦鹉体内分离出来，后陆续从长尾鹦鹉、鸽子、鸭、火鸡、海鸥和相思鸟等130种鸟类的体内分离出来，是引起禽类呼吸道和消化道疾病的病原体；并可引起人类和多种禽类感染，被感染禽类通过呼吸道和肠道途径间歇性地排出该病原体。在眼科被报道与眼附属器淋巴瘤（OAL）有关。此外，曾有报道鹦鹉热bacteria引起的慢性结膜炎，起病时有眼睑肿胀、眼红的表现。
Chlamydia trachomatis,Background,沙眼bacteria,813,bacteria,常见背景微生物
Citrobacter freundii,Both,弗氏柠檬酸杆菌,546,bacteria,弗氏柠檬酸杆菌是属于肠杆菌科的革兰氏阴性杆菌，一种条件致病菌，也是引起腹泻的病原体。在人类中，弗氏柠檬酸杆菌可引起尿路感染，腹泻，肺炎，但很少引起脑膜炎和颅内脓肿。在眼科致病的报道较少见，可在眼外伤或手术后的患者中引起急性眼内炎，视力预后常较差。1例弗氏柠檬酸杆菌引起的泪小管炎，表现为溢泪、分泌物增多及化脓性肉芽肿。
Citrobacter koseri,Pathogenicity,柯氏柠檬酸杆菌,545,bacteria,柯氏柠檬酸杆菌是一种需氧革兰氏阴性bacteria，从人的皮肤和肠道中分离出来。柯氏柠檬酸杆菌是机会性病原体，新生儿和其他免疫功能低下的患者容易感染此菌。文献报道柯氏柠檬酸杆菌可引起内源性眼内炎，几乎都由柯氏柠檬酸杆菌肾感染引起。也有少数病例报道柯氏柠檬酸杆菌引起的结晶样角膜变性。
Cladosporium cladosporioides,Background,枝孢霉菌,29917,fungi,常见背景微生物
Clavispora lusitaniae,Background,葡萄牙念珠菌,36911,fungi,常见背景微生物
Clostridium perfringens,Both,产气荚膜梭菌,1502,bacteria,产气荚膜梭菌是革兰阳性厌氧杆菌，既能产生强烈的外毒素，又有多种侵袭性酶，并有荚膜，构成其强大的侵袭力，是引起人类气性坏疽的主要病原菌。产气荚膜梭菌可导致眼部感染引起原发性角膜炎和全眼炎，感染症状多表现为视力下降、发红、畏光等，甚至出现角膜溃疡，角膜穿孔等。产气荚膜梭菌眼部感染常继发于穿透性损伤，可快速进展为全眼球炎和眼眶蜂窝组织炎。
Colletotrichum fructicola,Both,果生刺盘孢菌,690256,fungi,果生刺盘孢菌是刺盘孢属的一种fungi，该属fungi是目前已知的可以感染人角膜的罕见fungi之一，可以通过外伤等途径感染人类造成疾病。其在全世界广泛存在，主要分布在热带、亚热带地区，是典型的植物寄生菌和腐生菌，主要存在于植物宿主的叶子中，可引起植物炭疽病，其对人类和动物为机会致病菌，有相关文献报道刺盘孢属引起角膜炎案例。
Corynebacterium accolens,Background,拥挤棒杆菌,38284,bacteria,常见背景微生物
Corynebacterium afermentans,Background,非发酵棒杆菌,38286,bacteria,常见背景微生物
Corynebacterium ammoniagenes,Background,产氨棒杆菌,1697,bacteria,常见背景微生物
Corynebacterium amycolatum,Background,无枝菌酸棒杆菌,43765,bacteria,常见背景微生物
Corynebacterium argentoratense,Background,银色棒杆菌,42817,bacteria,常见背景微生物
Corynebacterium aurimucosum,Background,C. aurimucosum,169292,bacteria,常见背景微生物
Corynebacterium belfantii,Background,-,2014537,bacteria,常见背景微生物
Corynebacterium casei,Background,乳酪短杆菌,160386,bacteria,常见背景微生物
Corynebacterium durum,Background,坚硬棒状杆菌,61592,bacteria,常见背景微生物
Corynebacterium falsenii,Background,falsenii棒状杆菌,108486,bacteria,常见背景微生物
Corynebacterium flavescens,Background,微黄棒杆菌,28028,bacteria,常见背景微生物
Corynebacterium freneyi,Background,C. freneyi,134034,bacteria,常见背景微生物
Corynebacterium glaucum,Background,深紫棒杆菌,187491,bacteria,常见背景微生物
Corynebacterium glutamicum,Background,谷氨酸棒杆菌,1718,bacteria,常见背景微生物
Corynebacterium godavarianum,Background,-,2054421,bacteria,常见背景微生物
Corynebacterium halotolerans,Background,耐盐棒杆菌,2054421,bacteria,常见背景微生物
Corynebacterium heidelbergense,Background,-,2055947,bacteria,常见背景微生物
Corynebacterium jeikeium,Background,杰氏棒杆菌,38289,bacteria,常见背景微生物
Corynebacterium kefirresidentii,Background,C. kefirresidentii,1979527,bacteria,常见背景微生物
Corynebacterium kroppenstedtii,Background,柯氏棒状杆菌,161879,bacteria,常见背景微生物
Corynebacterium kutscheri,Background,库氏棒状杆菌,35755,bacteria,常见背景微生物
Corynebacterium lipophiloflavum,Background,嗜脂黄棒杆菌,161889,bacteria,常见背景微生物
Corynebacterium macginleyi,Both,麦氏棒杆菌,38290,bacteria,麦氏棒杆菌是棒状杆菌属的一种革兰氏阳性菌，该属菌种多数分布在口咽部、眼结膜等处。该菌在眼科多见于角膜结膜炎，也有报道1例麦氏棒杆菌引起的术后慢性眼内炎。
Corynebacterium massiliense,Background,-,441501,bacteria,常见背景微生物
Corynebacterium matruchotii,Background,马棒状杆菌,43768,bacteria,常见背景微生物
Corynebacterium minutissimum,Background,微小棒状杆菌,38301,bacteria,常见背景微生物
Corynebacterium otitidis,Background,C. otitidis,29321,bacteria,常见背景微生物
Corynebacterium phoceense,Background,-,1686286,bacteria,常见背景微生物
Corynebacterium pollutisoli,Background,-,1610489,bacteria,常见背景微生物
Corynebacterium propinquum,Background,接近棒状杆菌,43769,bacteria,常见背景微生物
Corynebacterium pseudodiphtheriticum,Background,假白喉棒状杆菌,37637,bacteria,常见背景微生物
Corynebacterium pseudogenitalium,Background,C. pseudogenitalium,38303,bacteria,常见背景微生物
Corynebacterium pyruviciproducens,Background,-,598660,bacteria,常见背景微生物
Corynebacterium resistens,Background,C. resistens,258224,bacteria,常见背景微生物
Corynebacterium riegelii,Background,C. riegelii,156976,bacteria,常见背景微生物
Corynebacterium segmentosum,Background,横裂棒状杆菌,43990,bacteria,常见背景微生物
Corynebacterium simulans,Background,模仿棒状杆菌,146827,bacteria,常见背景微生物
Corynebacterium singulare,Background,单独棒杆菌,161899,bacteria,常见背景微生物
Corynebacterium stationis,Background,停滞棒杆菌,1705,bacteria,常见背景微生物
Corynebacterium striatum,Both,纹带棒状杆菌,43770,bacteria,"纹带棒状杆菌是人体正常菌群的一部分，是一种无芽孢革兰阳性棒状杆菌，被认为是皮肤或黏膜表面的寄生菌，近年来经临床证明可成为定植菌或者感染源，但作为条件致病菌其在免疫低下的人群中也会引起严重的感染。长期卧床患者，免疫力低下的患者是易感人群，这类bacteria已经被临床越来越重视。纹带棒状杆菌作为条件致病菌，主要引起免疫功能受损，尤其是接受过介入性手术(如:气管插管，使用呼吸机，静脉导管，尿导管等)的长期住院患者的各类感染，包括肺炎、菌血症、心内膜炎、骨髓炎等。但近几年国内外学者报道此菌可引起败血症,心内膜炎及肺炎等各类临床感染。随着晚期慢性呼吸道疾病的患病率不断上升，出现革兰氏阳性bacteria引起的呼吸道感染临床案例也不断增加，例如纹状体棒状杆菌的爆发。"
Corynebacterium timonense,Background,-,441500,bacteria,常见背景微生物
Corynebacterium tuberculostearicum,Background,结核硬脂酸棒状杆菌,38304,bacteria,常见背景微生物
Corynebacterium tuscaniense,Background,C. tuscaniense,302449,bacteria,常见背景微生物
Corynebacterium urealyticum,Background,解脲棒杆菌,43771,bacteria,常见背景微生物
Corynebacterium ureicelerivorans,Background,C. ureicelerivorans,401472,bacteria,常见背景微生物
Corynebacterium variabile,Background,变异棒状杆菌,1727,bacteria,常见背景微生物
Corynebacterium xerosis,Background,干燥棒状杆菌,1725,bacteria,常见背景微生物
Corynespora cassiicola,Pathogenicity,C.cassiicola,59586,fungi,C.cassiicola是一种常见的植物病原体，引起人类致病较为罕见，主要表现为皮肤fungi病。文献描述一例由该菌引起的浸润性角膜炎，患者有明确的植物接触史。
